Team,Year,Player,FirstName,LastName,Position,GP,GS,Min,G,A,Shts,SOG
Chicago Fire,1998,Ante Razov,Ante,Razov,F,30,24,2091,10,9,88,41
Chicago Fire,1998,Roman Kosecki,Roman,Kosecki,F,25,25,1999,9,9,70,35
Chicago Fire,1998,Josh Wolff,Josh,Wolff,F,14,4,651,8,3,23,14
Chicago Fire,1998,Lubos Kubik,Lubos,Kubik,D,31,31,2790,7,8,67,24
Chicago Fire,1998,Jerzy Podbrozny,Jerzy,Podbrozny,F,26,25,1979,6,14,47,22
Chicago Fire,1998,Peter Nowak,Peter,Nowak,M,24,24,1921,6,12,38,20
Chicago Fire,1998,Frank Klopas,Frank,Klopas,F,27,17,1497,6,4,28,14
Chicago Fire,1998,Ritchie Kotschau,Ritchie,Kotschau,D,24,23,1973,4,3,24,7
Chicago Fire,1998,Jesse Marsch,Jesse,Marsch,M,29,25,2199,2,3,23,10
Chicago Fire,1998,C.J. Brown,C.J.,Brown,D,28,28,2470,2,0,4,3
Chicago Fire,1998,Chris Armas,Chris,Armas,M,31,31,2790,1,10,25,10
Chicago Fire,1998,Diego Gutierrez,Diego,Gutierrez,D,13,8,812,0,3,8,2
Chicago Fire,1998,Francis Okaroh,Francis,Okaroh,D,26,26,2294,0,3,0,0
Chicago Fire,1998,Jorge Salcedo,Jorge,Salcedo,M,11,6,625,0,2,10,4
Chicago Fire,1998,Andrew Lewis,Andrew,Lewis,M,13,6,623,0,1,0,0
Chicago Fire,1998,Zak Ibsen,Zak,Ibsen,M,27,5,908,0,1,26,10
Chicago Fire,1998,Zach Thornton,Zach,Thornton,GK,25,23,2076,0,1,0,0
Chicago Fire,1998,Chuck Codd,Chuck,Codd,D,0,0,0,0,0,0,0
Chicago Fire,1998,David Winner,David,Winner,GK,0,0,0,0,0,0,0
Chicago Fire,1998,Joe Carver,Joe,Carver,F,0,0,0,0,0,0,0
Chicago Fire,1998,Kevin Rueda,Kevin,Rueda,GK,0,0,0,0,0,0,0
Chicago Fire,1998,Michael Richardson,Michael,Richardson,D,1,0,6,0,0,0,0
Chicago Fire,1998,Manny Lagos,Manny,Lagos,M,1,0,11,0,0,0,0
Chicago Fire,1998,Scott Coufal,Scott,Coufal,GK,1,1,90,0,0,0,0
Chicago Fire,1998,Tony Kuhn,Tony,Kuhn,F,5,1,137,0,0,1,0
Chicago Fire,1999,Ante Razov,Ante,Razov,F,30,24,2068,14,7,90,49
Chicago Fire,1999,Josh Wolff,Josh,Wolff,F,28,17,1775,10,2,55,34
Chicago Fire,1999,Peter Nowak,Peter,Nowak,M,28,28,2480,6,8,35,15
Chicago Fire,1999,Lubos Kubik,Lubos,Kubik,D,27,27,2387,5,8,42,12
Chicago Fire,1999,Jerzy Podbrozny,Jerzy,Podbrozny,F,29,28,2357,4,8,60,23
Chicago Fire,1999,Roman Kosecki,Roman,Kosecki,F,25,23,1825,3,10,52,22
Chicago Fire,1999,Diego Gutierrez,Diego,Gutierrez,D,28,25,2164,3,5,26,9
Chicago Fire,1999,Dema Kovalenko,Dema,Kovalenko,M,11,1,291,3,0,8,7
Chicago Fire,1999,Chris Armas,Chris,Armas,M,22,22,1935,1,5,20,7
Chicago Fire,1999,Jesse Marsch,Jesse,Marsch,M,29,27,2364,1,2,15,7
Chicago Fire,1999,Tom Soehn,Tom,Soehn,D,23,14,1359,1,1,3,1
Chicago Fire,1999,Paul Dougherty,Paul,Dougherty,F,9,5,469,0,2,6,2
Chicago Fire,1999,C.J. Brown,C.J.,Brown,D,26,26,2238,0,2,6,2
Chicago Fire,1999,Andrew Lewis,Andrew,Lewis,M,9,3,363,0,1,1,0
Chicago Fire,1999,Frank Klopas,Frank,Klopas,F,13,7,476,0,1,10,6
Chicago Fire,1999,Sam George,Sam,George,M,10,9,765,0,1,3,0
Chicago Fire,1999,Evan Whitfield,Evan,Whitfield,D,0,0,0,0,0,0,0
Chicago Fire,1999,Jesse Van Saun,Jesse,Van Saun,F,0,0,0,0,0,0,0
Chicago Fire,1999,Jon Busch,Jon,Busch,GK,0,0,0,0,0,0,0
Chicago Fire,1999,Josh Keller,Josh,Keller,M,0,0,0,0,0,0,0
Chicago Fire,1999,Mike McGinty,Mike,McGinty,GK,0,0,0,0,0,0,0
Chicago Fire,1999,Dan Stebbins,Dan,Stebbins,F,1,0,45,0,0,1,0
Chicago Fire,1999,Ryan Tinsley,Ryan,Tinsley,D,3,1,67,0,0,0,0
Chicago Fire,1999,Jeff Zaun,Jeff,Zaun,D,1,1,90,0,0,0,0
Chicago Fire,1999,Manny Lagos,Manny,Lagos,M,9,0,135,0,0,4,1
Chicago Fire,2000,Ante Razov,Ante,Razov,F,24,24,2145,18,6,127,63
Chicago Fire,2000,Dema Kovalenko,Dema,Kovalenko,M,31,28,2429,10,5,52,35
Chicago Fire,2000,Hristo Stoitchkov,Hristo,Stoitchkov,F,18,12,987,9,7,54,24
Chicago Fire,2000,Josh Wolff,Josh,Wolff,F,25,20,1917,7,5,49,26
Chicago Fire,2000,Peter Nowak,Peter,Nowak,M,28,28,2402,5,14,36,17
Chicago Fire,2000,Lubos Kubik,Lubos,Kubik,D,13,12,973,3,6,27,11
Chicago Fire,2000,Diego Gutierrez,Diego,Gutierrez,D,24,23,1959,2,13,28,12
Chicago Fire,2000,Jesse Marsch,Jesse,Marsch,M,30,29,2658,2,8,29,8
Chicago Fire,2000,Evan Whitfield,Evan,Whitfield,D,25,11,1278,2,7,15,7
Chicago Fire,2000,DaMarcus Beasley,DaMarcus,Beasley,M,18,11,1085,2,2,10,4
Chicago Fire,2000,Mike Sorber,Mike,Sorber,M,19,13,1091,1,3,11,4
Chicago Fire,2000,John Wolyniec,John,Wolyniec,F,15,1,461,1,1,15,8
Chicago Fire,2000,Carlos Bocanegra,Carlos,Bocanegra,D,27,27,2402,1,1,10,2
Chicago Fire,2000,Tom Soehn,Tom,Soehn,D,19,11,1091,1,0,2,1
Chicago Fire,2000,Andrew Lewis,Andrew,Lewis,M,19,17,1589,1,0,4,1
Chicago Fire,2000,Chris Armas,Chris,Armas,M,16,16,1479,0,5,11,5
Chicago Fire,2000,Justin Evans,Justin,Evans,M,2,2,180,0,1,0,0
Chicago Fire,2000,C.J. Brown,C.J.,Brown,D,27,27,2497,0,1,4,1
Chicago Fire,2000,Scott Vallow,Scott,Vallow,GK,0,0,0,0,0,0,0
Chicago Fire,2000,Yuri Lavrinenko,Yuri,Lavrinenko,M,3,1,55,0,0,0,0
Chicago Fire,2000,Junior Agogo,Junior,Agogo,F,1,1,57,0,0,1,0
Chicago Fire,2000,Tenywa Bonseu,Tenywa,Bonseu,D,2,1,92,0,0,2,1
Chicago Fire,2000,Chris Jahr,Chris,Jahr,D,2,2,180,0,0,0,0
Chicago Fire,2000,Greg Sutton,Greg,Sutton,GK,2,2,180,0,0,0,0
Chicago Fire,2000,Sam George,Sam,George,M,16,3,321,0,0,1,0
Chicago Fire,2001,Eric Wynalda,Eric,Wynalda,F,21,11,1167,10,5,52,25
Chicago Fire,2001,Dema Kovalenko,Dema,Kovalenko,M,25,25,2311,8,7,45,21
Chicago Fire,2001,Peter Nowak,Peter,Nowak,M,18,18,1560,6,10,39,16
Chicago Fire,2001,Hristo Stoitchkov,Hristo,Stoitchkov,F,17,10,916,6,5,53,28
Chicago Fire,2001,Jamar Beasley,Jamar,Beasley,M,18,8,727,4,3,29,17
Chicago Fire,2001,Jesse Marsch,Jesse,Marsch,M,27,27,2429,3,7,18,8
Chicago Fire,2001,DaMarcus Beasley,DaMarcus,Beasley,M,24,24,2156,2,6,27,18
Chicago Fire,2001,Sergi Daniv,Sergi,Daniv,M,14,9,813,2,3,14,6
Chicago Fire,2001,Josh Wolff,Josh,Wolff,F,3,3,244,2,0,12,4
Chicago Fire,2001,Ante Razov,Ante,Razov,F,7,6,541,2,0,26,11
Chicago Fire,2001,Diego Gutierrez,Diego,Gutierrez,D,24,24,2123,1,5,13,10
Chicago Fire,2001,Carlos Bocanegra,Carlos,Bocanegra,D,15,13,1250,1,2,5,3
Chicago Fire,2001,David Hayes,David,Hayes,F,3,1,80,1,0,2,1
Chicago Fire,2001,John Wolyniec,John,Wolyniec,F,4,3,285,1,0,5,2
Chicago Fire,2001,Andrew Lewis,Andrew,Lewis,M,13,5,502,1,0,1,1
Chicago Fire,2001,David Vaudreuil,David,Vaudreuil,D,9,4,415,0,4,2,2
Chicago Fire,2001,Evan Whitfield,Evan,Whitfield,D,26,21,1882,0,3,10,3
Chicago Fire,2001,Jim Curtin,Jim,Curtin,D,18,12,1194,0,1,2,0
Chicago Fire,2001,C.J. Brown,C.J.,Brown,D,22,22,1882,0,1,7,2
Chicago Fire,2001,Chris Armas,Chris,Armas,M,21,21,1940,0,1,16,10
Chicago Fire,2001,Zach Thornton,Zach,Thornton,GK,27,27,2496,0,1,0,0
Chicago Fire,2001,Henry Ring,Henry,Ring,GK,0,0,0,0,0,0,0
Chicago Fire,2001,Jeremy Aldrich,Jeremy,Aldrich,D,0,0,0,0,0,0,0
Chicago Fire,2001,Steve Bernal,Steve,Bernal,D,0,0,0,0,0,0,0
Chicago Fire,2001,Amos Magee,Amos,Magee,F,1,0,2,0,0,0,0
Chicago Fire,2002,Ante Razov,Ante,Razov,F,25,24,2120,14,8,115,56
Chicago Fire,2002,Josh Wolff,Josh,Wolff,F,14,14,1223,5,5,30,12
Chicago Fire,2002,Peter Nowak,Peter,Nowak,M,16,16,1377,3,4,23,9
Chicago Fire,2002,DaMarcus Beasley,DaMarcus,Beasley,M,19,19,1719,3,4,26,12
Chicago Fire,2002,Kelly Gray,Kelly,Gray,D-M,25,20,1780,2,5,18,7
Chicago Fire,2002,Hristo Stoitchkov,Hristo,Stoitchkov,F,16,6,693,2,3,39,18
Chicago Fire,2002,Carlos Bocanegra,Carlos,Bocanegra,D,26,26,2291,2,3,16,9
Chicago Fire,2002,Amos Magee,Amos,Magee,F,5,3,197,2,0,4,2
Chicago Fire,2002,Jim Curtin,Jim,Curtin,D,24,22,2121,2,0,12,6
Chicago Fire,2002,Dema Kovalenko,Dema,Kovalenko,M,23,23,2034,1,8,38,12
Chicago Fire,2002,Jesse Marsch,Jesse,Marsch,M,28,28,2557,1,7,21,6
Chicago Fire,2002,David Vaudreuil,David,Vaudreuil,D,17,14,1280,1,1,4,2
Chicago Fire,2002,John Wolyniec,John,Wolyniec,F,2,2,180,1,0,3,3
Chicago Fire,2002,Jason Moore,Jason,Moore,M,10,2,314,1,0,3,2
Chicago Fire,2002,Sergi Daniv,Sergi,Daniv,M,8,5,480,1,0,6,3
Chicago Fire,2002,C.J. Brown,C.J.,Brown,D,24,24,2153,0,3,6,3
Chicago Fire,2002,Chris Armas,Chris,Armas,M,4,4,347,0,1,1,1
Chicago Fire,2002,Billy Walsh,Billy,Walsh,M,13,9,776,0,1,3,0
Chicago Fire,2002,Billy Sleeth,Billy,Sleeth,D,13,7,799,0,1,2,1
Chicago Fire,2002,David Hayes,David,Hayes,F,0,0,0,0,0,0,0
Chicago Fire,2002,Miguel Saavedra,Miguel,Saavedra,M,0,0,0,0,0,0,0
Chicago Fire,2002,Dipsy Selolwane,Dipsy,Selolwane,F,1,0,1,0,0,0,0
Chicago Fire,2002,Aleksey Korol,Aleksey,Korol,F,1,0,22,0,0,0,0
Chicago Fire,2002,Mike Nugent,Mike,Nugent,F,4,0,54,0,0,3,1
Chicago Fire,2002,Johnny Torres,Johnny,Torres,F,2,0,73,0,0,2,0
Chicago Fire,2003,Ante Razov,Ante,Razov,F,26,25,2269,14,6,119,67
Chicago Fire,2003,Damani Ralph,Damani,Ralph,F,25,22,1982,11,6,91,36
Chicago Fire,2003,DaMarcus Beasley,DaMarcus,Beasley,M,22,20,1968,7,5,45,16
Chicago Fire,2003,Jesse Marsch,Jesse,Marsch,M,19,16,1465,5,0,20,10
Chicago Fire,2003,Justin Mapp,Justin,Mapp,M,21,18,1383,3,3,19,11
Chicago Fire,2003,Andy Williams,Andy,Williams,M,20,14,1358,2,7,22,7
Chicago Fire,2003,Chris Armas,Chris,Armas,M,25,25,2267,2,4,19,7
Chicago Fire,2003,Nate Jaqua,Nate,Jaqua,F,20,5,708,2,2,17,7
Chicago Fire,2003,Kelly Gray,Kelly,Gray,D-M,28,20,1908,2,1,25,10
Chicago Fire,2003,Orlando Perez,Orlando,Perez,D,21,18,1634,2,0,12,5
Chicago Fire,2003,Carlos Bocanegra,Carlos,Bocanegra,D,19,19,1784,1,2,10,5
Chicago Fire,2003,Dipsy Selolwane,Dipsy,Selolwane,F,5,1,164,1,1,5,2
Chicago Fire,2003,Evan Whitfield,Evan,Whitfield,D,27,25,2328,1,1,14,8
Chicago Fire,2003,Jonathan Bolanos,Jonathan,Bolanos,M,2,1,92,0,1,2,0
Chicago Fire,2003,Ryan Futagaki,Ryan,Futagaki,M,6,2,218,0,1,3,0
Chicago Fire,2003,C.J. Brown,C.J.,Brown,D,21,19,1728,0,1,7,2
Chicago Fire,2003,Jim Curtin,Jim,Curtin,D,30,30,2733,0,1,10,3
Chicago Fire,2003,Mike McGinty,Mike,McGinty,GK,0,0,0,0,0,0,0
Chicago Fire,2003,Nick Walls,Nick,Walls,M,0,0,0,0,0,0,0
Chicago Fire,2003,Henry Ring,Henry,Ring,GK,1,0,11,0,0,0,0
Chicago Fire,2003,Curtis Spiteri,Curtis,Spiteri,GK,1,0,44,0,0,0,0
Chicago Fire,2003,Craig Capano,Craig,Capano,M,5,1,120,0,0,0,0
Chicago Fire,2003,Rodrigo Faria,Rodrigo,Faria,F,5,4,329,0,0,10,3
Chicago Fire,2003,Logan Pause,Logan,Pause,M,23,15,1351,0,0,4,1
Chicago Fire,2003,Zach Thornton,Zach,Thornton,GK,30,30,2728,0,0,0,0
Chicago Fire,2004,Damani Ralph,Damani,Ralph,F,26,25,2249,11,3,89,36
Chicago Fire,2004,Andy Williams,Andy,Williams,M,25,23,2023,4,9,48,20
Chicago Fire,2004,Nate Jaqua,Nate,Jaqua,F,26,21,1832,4,4,45,19
Chicago Fire,2004,Ante Razov,Ante,Razov,F,13,11,996,4,2,52,25
Chicago Fire,2004,Andy Herron,Andy,Herron,F,4,3,309,4,0,8,4
Chicago Fire,2004,Justin Mapp,Justin,Mapp,M,24,19,1625,3,4,23,8
Chicago Fire,2004,Dipsy Selolwane,Dipsy,Selolwane,F,19,5,623,2,0,14,5
Chicago Fire,2004,Chris Armas,Chris,Armas,M,21,20,1820,1,7,18,5
Chicago Fire,2004,Craig Capano,Craig,Capano,M,13,4,436,1,0,5,2
Chicago Fire,2004,Kelly Gray,Kelly,Gray,D-M,25,23,2112,1,0,20,6
Chicago Fire,2004,DaMarcus Beasley,DaMarcus,Beasley,M,15,14,1290,0,3,23,6
Chicago Fire,2004,Scott Buete,Scott,Buete,M,13,8,700,0,2,2,0
Chicago Fire,2004,Logan Pause,Logan,Pause,M,21,19,1481,0,2,2,1
Chicago Fire,2004,Orlando Perez,Orlando,Perez,D,17,13,1074,0,1,7,2
Chicago Fire,2004,Evan Whitfield,Evan,Whitfield,D,23,19,1664,0,1,1,0
Chicago Fire,2004,C.J. Brown,C.J.,Brown,D,24,24,2130,0,1,5,2
Chicago Fire,2004,Jim Curtin,Jim,Curtin,D,30,30,2700,0,1,12,7
Chicago Fire,2004,Matt Pickens,Matt,Pickens,GK,0,0,0,0,0,0,0
Chicago Fire,2004,Zach Thornton,Zach,Thornton,GK,0,0,0,0,0,0,0
Chicago Fire,2004,Chris Carrieri,Chris,Carrieri,F,1,0,34,0,0,1,0
Chicago Fire,2004,Sumed Ibrahim,Sumed,Ibrahim,M,3,1,82,0,0,0,0
Chicago Fire,2004,Alexandre Boucicaut,Alexandre,Boucicaut,M,5,1,162,0,0,4,1
Chicago Fire,2004,D.J. Countess,D.J.,Countess,GK,2,2,180,0,0,0,0
Chicago Fire,2004,Leonard Griffin,Leonard,Griffin,D,9,3,329,0,0,2,1
Chicago Fire,2004,Denny Clanton,Denny,Clanton,D,10,6,499,0,0,0,0
Chicago Fire,2005,Chris Rolfe,Chris,Rolfe,F,29,21,1941,8,5,61,32
Chicago Fire,2005,Nate Jaqua,Nate,Jaqua,F,18,15,1361,7,3,45,24
Chicago Fire,2005,Thiago,Thiago,,M,27,25,2220,6,7,45,20
Chicago Fire,2005,Jesse Marsch,Jesse,Marsch,M,28,22,1945,5,2,25,15
Chicago Fire,2005,Justin Mapp,Justin,Mapp,M,29,28,2356,3,8,48,19
Chicago Fire,2005,Lubos Reiter,Lubos,Reiter,F,14,9,771,3,2,22,16
Chicago Fire,2005,Gonzalo Segares,Gonzalo,Segares,D,21,21,1864,3,2,10,5
Chicago Fire,2005,Ivan Guerrero,Ivan,Guerrero,M,26,26,2314,2,5,15,3
Chicago Fire,2005,Andy Herron,Andy,Herron,F,20,13,980,2,2,22,12
Chicago Fire,2005,Chris Armas,Chris,Armas,M,22,22,1879,2,2,17,5
Chicago Fire,2005,Chad Barrett,Chad,Barrett,F,20,4,594,1,4,25,9
Chicago Fire,2005,Jim Curtin,Jim,Curtin,D,27,24,2143,1,3,12,6
Chicago Fire,2005,Samuel Caballero,Samuel,Caballero,D,17,16,1439,1,1,11,4
Chicago Fire,2005,Will Johnson,Will,Johnson,M,6,1,161,1,0,4,2
Chicago Fire,2005,John Thorrington,John,Thorrington,M,8,4,368,1,0,2,1
Chicago Fire,2005,Jack Stewart,Jack,Stewart,D,9,3,400,1,0,10,5
Chicago Fire,2005,Kelly Gray,Kelly,Gray,D-M,6,5,508,1,0,6,2
Chicago Fire,2005,C.J. Brown,C.J.,Brown,D,20,18,1657,0,2,2,0
Chicago Fire,2005,Logan Pause,Logan,Pause,M,27,24,2093,0,2,2,1
Chicago Fire,2005,Will John,Will,John,M-F,6,2,199,0,1,2,0
Chicago Fire,2005,Tony Sanneh,Tony,Sanneh,D,12,11,988,0,1,1,1
Chicago Fire,2005,Andy Rosenband,Andy,Rosenband,M,0,0,0,0,0,0,0
Chicago Fire,2005,Clint Baumstark,Clint,Baumstark,GK,0,0,0,0,0,0,0
Chicago Fire,2005,Craig Capano,Craig,Capano,M,0,0,0,0,0,0,0
Chicago Fire,2005,DeMetrius White,DeMetrius,White,M,0,0,0,0,0,0,0
Chicago Fire,2006,Andy Herron,Andy,Herron,F,20,18,1449,9,1,37,25
Chicago Fire,2006,Nate Jaqua,Nate,Jaqua,F,28,22,2037,8,2,48,17
Chicago Fire,2006,Chris Rolfe,Chris,Rolfe,F,21,21,1636,7,1,39,19
Chicago Fire,2006,Chad Barrett,Chad,Barrett,F,16,9,778,5,1,26,14
Chicago Fire,2006,Thiago,Thiago,,M,27,25,2229,3,2,39,19
Chicago Fire,2006,Justin Mapp,Justin,Mapp,M,26,22,1865,2,8,36,10
Chicago Fire,2006,Diego Gutierrez,Diego,Gutierrez,D,25,21,1878,2,3,18,8
Chicago Fire,2006,Chris Armas,Chris,Armas,M,27,27,2366,1,5,20,6
Chicago Fire,2006,C.J. Brown,C.J.,Brown,D,28,28,2429,1,2,7,3
Chicago Fire,2006,Calen Carr,Calen,Carr,F,22,3,494,1,1,12,8
Chicago Fire,2006,Brian Plotkin,Brian,Plotkin,M,14,4,526,1,1,14,4
Chicago Fire,2006,Gonzalo Segares,Gonzalo,Segares,D,25,22,1983,1,1,7,2
Chicago Fire,2006,Jim Curtin,Jim,Curtin,D,11,7,660,1,0,1,1
Chicago Fire,2006,Dasan Robinson,Dasan,Robinson,D,23,23,2054,1,0,8,1
Chicago Fire,2006,Ivan Guerrero,Ivan,Guerrero,M,29,29,2526,0,9,20,12
Chicago Fire,2006,Jared Montz,Jared,Montz,D,1,0,13,0,1,0,0
Chicago Fire,2006,Tony Sanneh,Tony,Sanneh,D,19,15,1295,0,1,1,0
Chicago Fire,2006,Logan Pause,Logan,Pause,M,25,19,1782,0,1,4,1
Chicago Fire,2006,Zach Thornton,Zach,Thornton,GK,24,24,2160,0,1,0,0
Chicago Fire,2006,Adam Ruud,Adam,Ruud,M,0,0,0,0,0,0,0
Chicago Fire,2006,Craig Capano,Craig,Capano,M,0,0,0,0,0,0,0
Chicago Fire,2006,David Mahoney,David,Mahoney,GK,0,0,0,0,0,0,0
Chicago Fire,2006,Idris Ughiovhe,Idris,Ughiovhe,D,0,0,0,0,0,0,0
Chicago Fire,2006,Jeff Curtin,Jeff,Curtin,D,0,0,0,0,0,0,0
Chicago Fire,2006,Jordan Russolillo,Jordan,Russolillo,D,0,0,0,0,0,0,0
Chicago Fire,2007,Chad Barrett,Chad,Barrett,F,30,25,1983,7,2,59,37
Chicago Fire,2007,Chris Rolfe,Chris,Rolfe,F,19,18,1451,6,3,38,19
Chicago Fire,2007,Cuauhtemoc Blanco,Cuauhtemoc,Blanco,M,14,14,1233,4,7,26,14
Chicago Fire,2007,Calen Carr,Calen,Carr,F,27,10,1134,3,2,33,13
Chicago Fire,2007,Paulo Wanchope,Paulo,Wanchope,F,12,10,932,2,0,26,13
Chicago Fire,2007,Ivan Guerrero,Ivan,Guerrero,M,19,16,1490,1,2,12,5
Chicago Fire,2007,Willian Oliveira,Willian,Oliveira,M,8,4,381,1,1,7,4
Chicago Fire,2007,Gonzalo Segares,Gonzalo,Segares,D,27,27,2406,1,1,15,5
Chicago Fire,2007,John Thorrington,John,Thorrington,M,2,0,31,1,0,2,2
Chicago Fire,2007,Jerson Monteiro,Jerson,Monteiro,F,5,1,154,1,0,3,3
Chicago Fire,2007,Floyd Franks,Floyd,Franks,M,7,2,223,1,0,3,1
Chicago Fire,2007,Jeff Curtin,Jeff,Curtin,D,3,3,248,1,0,2,1
Chicago Fire,2007,Dasan Robinson,Dasan,Robinson,D,23,21,1819,1,0,11,3
Chicago Fire,2007,Logan Pause,Logan,Pause,M,23,21,1905,1,0,2,2
Chicago Fire,2007,Chris Armas,Chris,Armas,M,25,24,2194,0,2,7,2
Chicago Fire,2007,Thiago,Thiago,,M,13,5,568,0,1,10,3
Chicago Fire,2007,Wilman Conde,Wilman,Conde,D,7,7,595,0,1,6,5
Chicago Fire,2007,Justin Mapp,Justin,Mapp,M,13,10,808,0,1,15,8
Chicago Fire,2007,Diego Gutierrez,Diego,Gutierrez,D,23,22,1890,0,1,10,6
Chicago Fire,2007,Daniel Woolard,Daniel,Woolard,D,0,0,0,0,0,0,0
Chicago Fire,2007,Erik Hort,Erik,Hort,D,0,0,0,0,0,0,0
Chicago Fire,2007,Nick Noble,Nick,Noble,GK,0,0,0,0,0,0,0
Chicago Fire,2007,Osei Telesford,Osei,Telesford,D,2,0,2,0,0,0,0
Chicago Fire,2007,Jordan Russolillo,Jordan,Russolillo,D,2,1,46,0,0,0,0
Chicago Fire,2007,Mike Banner,Mike,Banner,M,3,0,56,0,0,1,0
Chicago Fire,2008,Chris Rolfe,Chris,Rolfe,F,26,23,1960,9,8,42,24
Chicago Fire,2008,Cuauhtemoc Blanco,Cuauhtemoc,Blanco,M,27,27,2398,7,11,46,26
Chicago Fire,2008,Chad Barrett,Chad,Barrett,F,16,14,1174,5,4,35,14
Chicago Fire,2008,Brian McBride,Brian,McBride,F,11,10,932,5,2,30,12
Chicago Fire,2008,John Thorrington,John,Thorrington,M,23,21,1881,5,1,24,11
Chicago Fire,2008,Justin Mapp,Justin,Mapp,M,30,26,2229,2,8,42,21
Chicago Fire,2008,Tomasz Frankowski,Tomasz,Frankowski,F,17,7,628,2,2,14,11
Chicago Fire,2008,Gonzalo Segares,Gonzalo,Segares,D,23,23,2013,2,2,16,7
Chicago Fire,2008,Stephen King,Stephen,King,M,20,8,854,2,1,13,7
Chicago Fire,2008,Calen Carr,Calen,Carr,F,9,2,274,2,0,9,4
Chicago Fire,2008,Wilman Conde,Wilman,Conde,D,22,19,1750,1,1,7,1
Chicago Fire,2008,Patrick Nyarko,Patrick,Nyarko,F-M,9,2,159,1,0,4,3
Chicago Fire,2008,Daniel Woolard,Daniel,Woolard,D,8,2,251,1,0,2,2
Chicago Fire,2008,Diego Gutierrez,Diego,Gutierrez,D,20,19,1660,0,1,2,1
Chicago Fire,2008,Brandon Prideaux,Brandon,Prideaux,D,27,27,2254,0,1,10,1
Chicago Fire,2008,Bakary Soumare,Bakary,Soumare,D,28,28,2514,0,1,5,3
Chicago Fire,2008,Bruno Menezes,Bruno,Menezes,M,0,0,0,0,0,0,0
Chicago Fire,2008,Kai Kasiguran,Kai,Kasiguran,M,0,0,0,0,0,0,0
Chicago Fire,2008,Nick Noble,Nick,Noble,GK,0,0,0,0,0,0,0
Chicago Fire,2008,Peter Lowry,Peter,Lowry,M,0,0,0,0,0,0,0
Chicago Fire,2008,Tyler Kettering,Tyler,Kettering,GK,0,0,0,0,0,0,0
Chicago Fire,2008,Austin Washington,Austin,Washington,D,1,1,60,0,0,0,0
Chicago Fire,2008,Brian Plotkin,Brian,Plotkin,M,1,1,90,0,0,0,0
Chicago Fire,2008,Lider Marmol,Lider,Marmol,D,2,1,94,0,0,0,0
Chicago Fire,2008,Dasan Robinson,Dasan,Robinson,D,5,1,132,0,0,0,0
Chicago Fire,2009,Brian McBride,Brian,McBride,F,22,22,1963,7,2,47,22
Chicago Fire,2009,Chris Rolfe,Chris,Rolfe,F,28,20,1854,6,1,62,26
Chicago Fire,2009,Cuauhtemoc Blanco,Cuauhtemoc,Blanco,M,21,15,1452,5,8,39,17
Chicago Fire,2009,Marco Pappa,Marco,Pappa,M,30,28,2314,5,4,60,29
Chicago Fire,2009,Patrick Nyarko,Patrick,Nyarko,F-M,30,22,1983,4,2,33,20
Chicago Fire,2009,Peter Lowry,Peter,Lowry,M,9,8,659,3,0,13,8
Chicago Fire,2009,Mike Banner,Mike,Banner,M,22,8,942,2,3,10,4
Chicago Fire,2009,Wilman Conde,Wilman,Conde,D,19,18,1614,2,2,11,4
Chicago Fire,2009,Justin Mapp,Justin,Mapp,M,21,11,1013,1,3,16,4
Chicago Fire,2009,Gonzalo Segares,Gonzalo,Segares,D,12,12,965,1,1,6,3
Chicago Fire,2009,Dasan Robinson,Dasan,Robinson,D,12,9,908,1,0,2,1
Chicago Fire,2009,Tim Ward,Tim,Ward,D,19,19,1685,0,3,16,3
Chicago Fire,2009,Logan Pause,Logan,Pause,M,26,26,2287,0,3,5,1
Chicago Fire,2009,Baggio Husidic,Baggio,Husidic,F-M,10,5,449,0,1,6,1
Chicago Fire,2009,Bakary Soumare,Bakary,Soumare,D,16,16,1364,0,1,3,2
Chicago Fire,2009,Brandon Prideaux,Brandon,Prideaux,D,19,16,1414,0,1,6,1
Chicago Fire,2009,John Thorrington,John,Thorrington,M,19,19,1574,0,1,14,3
Chicago Fire,2009,Andrew Dykstra,Andrew,Dykstra,GK,0,0,0,0,0,0,0
Chicago Fire,2009,David Myrie,David,Myrie,D,0,0,0,0,0,0,0
Chicago Fire,2009,Nick Noble,Nick,Noble,GK,0,0,0,0,0,0,0
Chicago Fire,2009,Calen Carr,Calen,Carr,F,10,0,90,0,0,1,0
Chicago Fire,2009,Stefan Dimitrov,Stefan,Dimitrov,F,7,1,124,0,0,1,0
Chicago Fire,2009,Austin Washington,Austin,Washington,D,8,4,360,0,0,1,0
Chicago Fire,2009,Daniel Woolard,Daniel,Woolard,D,8,4,409,0,0,1,0
Chicago Fire,2009,C.J. Brown,C.J.,Brown,D,18,17,1454,0,0,3,1
Chicago Fire,2010,Marco Pappa,Marco,Pappa,M,25,23,1961,7,5,57,26
Chicago Fire,2010,Brian McBride,Brian,McBride,F,26,18,1604,6,3,36,18
Chicago Fire,2010,Baggio Husidic,Baggio,Husidic,F-M,22,18,1498,5,3,22,10
Chicago Fire,2010,Collins John,Collins,John,F,17,10,901,3,1,29,14
Chicago Fire,2010,Calen Carr,Calen,Carr,F,14,4,538,3,0,12,6
